time_checked,raw_download,download,raw_upload,upload
2020-04-26 18:10:59,Download: 11.47 Mbit/s,11.47,Upload: 5.90 Mbit/s,5.9
2020-04-26 18:11:56,Download: 18.00 Mbit/s,18.00,Upload: 5.20 Mbit/s,5.20
